index	タイトル	2023-08-11	2023-08-12	2023-08-13	2023-08-14	2023-08-15	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20	2023-09-21	2023-09-22	2023-09-23	2023-09-24	2023-09-25	2023-09-26	2023-09-27	2023-09-28	2023-09-29	2023-09-30	2023-10-01	2023-10-02	2023-10-03	2023-10-04	2023-10-05	2023-10-06	2023-10-07	2023-10-08	2023-10-09	2023-10-10	2023-10-11	2023-10-12	2023-10-13
https://youtu.be/BxEf3vGTeWQ	松浦亜弥「Yeah!めっちゃホリディ」	19694	35578	44256	51402	59596	70352	80757	90815	101877	112062	119816	129996	132477	138544	145440	152560	160048	166618	172827	179325	185611	193296	200738	209672	218153	225378	232834	240732	248995	257615	267596	275870	283499	291088	299318	307840	319083	328474	337074	344211	350965	357717	364122	370531	377073	382479	387242	392098	397019	402261	407988	414428	419652	424387	429443	434266	439291	444536	450023	455391	460058	464094	468755	473303
https://youtu.be/ATCo8nlbZU0	"松浦亜弥 『ふたり大阪』  ""10TH ANNIVERSARY BEST"" SPECIAL LIVE"	69719	69787	69818	69833	69846	69864	69878	69894	69912	69929	69939	69959	69966	69985	69995	70001	70003	70007	70018	70027	70037	70046	70063	70082	70095	70105	70112	70116	70123	70132	70141	70149	70164	70178	70182	70189	70192	70199	70205	70211	70220	70224	70229	70243	70251	70257	70261	70270	70278	70284	70291	70295	70296	70298	70300	70305	70313	70323	70326	70331	70335	70338	70342	70347
https://youtu.be/Ly8Jr87GjUo	松浦亜弥 『横浜ロンド』	361980	362097	362170	362221	362272	362327	362376	362435	362489	362553	362612	362705	362716	362762	362797	362846	362881	362908	362938	362973	363010	363085	363174	363244	363297	363323	363356	363405	363449	363479	363535	363576	363609	363657	363698	363732	363772	363812	363855	363901	363934	363981	364046	364087	364132	364184	364221	364271	364318	364358	364399	364443	364464	364490	364535	364578	364612	364643	364682	364725	364757	364792	364814	364847
https://youtu.be/y2XoW9rl1JI	松浦亜弥 『The Difference』	84910	84995	85025	85035	85050	85078	85103	85127	85149	85170	85187	85208	85212	85228	85242	85252	85263	85274	85282	85295	85308	85322	85340	85355	85370	85379	85389	85402	85414	85426	85439	85451	85462	85476	85486	85496	85500	85510	85515	85524	85527	85537	85550	85566	85574	85577	85580	85584	85589	85594	85597	85607	85611	85613	85621	85630	85640	85648	85652	85659	85660	85668	85673	85677
https://youtu.be/A7tBH2j_j_w	松浦亜弥「100回のKISS」	8108	18443	20792	23106	25642	28412	30571	32399	34335	36286	37969	40232	40849	42207	43594	44806	46011	47028	48142	49354	50447	51887	53361	54706	55823	56883	58001	59139	60293	61387	62586	63619	64757	65879	67043	68351	69479	70564	71482	72451	73474	74593	75729	76766	77616	78359	79191	80014	80841	81701	82596	83451	84326	85106	85941	86819	87581	88367	89076	89816	90519	91264	92068	92852
https://youtu.be/KcW_0-quK0Y	松浦亜弥 『only	198622	198688	198720	198728	198746	198769	198788	198809	198835	198850	198871	198891	198895	198918	198931	198942	198953	198960	198971	198982	198992	199009	199019	199038	199051	199064	199073	199082	199091	199105	199120	199133	199145	199157	199168	199187	199194	199203	199214	199226	199231	199244	199256	199268	199273	199293	199297	199302	199309	199314	199325	199335	199336	199343	199345	199354	199365	199374	199376	199382	199385	199389	199392	199396
https://youtu.be/z-ApZFvjVbE	松浦亜弥「ドッキドキ!LOVEメール」	18125	29011	34312	38288	42800	48865	53791	57867	62841	67412	71425	77231	78590	82014	85430	88910	92185	94828	97652	100560	103609	107346	110942	114592	117573	120722	123648	126622	129522	132518	135724	138496	141340	144351	147229	150144	153241	156128	158866	161352	163958	166752	169315	171805	174213	176158	178178	180207	182473	184846	187166	189518	191574	193554	195614	197704	199895	201955	203897	205788	207466	209137	210892	212533
https://youtu.be/iM5MUvyQJGg	松浦亜弥「気がつけば あなた」	7508	19558	24057	26756	28794	30933	32351	33395	35015	36278	37236	38318	38539	39333	40050	40727	41235	41729	42265	42769	43317	44046	44645	45240	45760	46255	46739	47153	47590	48046	48549	48993	49506	49966	50385	50789	51219	51632	52012	52369	52705	53142	53525	53879	54208	54503	54796	55118	55418	55693	55972	56281	56528	56762	57014	57259	57547	57823	58122	58439	58647	58843	59107	59320
https://youtu.be/z58_bAhiWcc	松浦亜弥「GOOD BYE 夏男」	16660	30630	38905	45755	53522	62509	69647	75739	82102	89295	95734	103551	105328	109872	114543	119067	123140	126402	129789	133003	136071	139919	143596	147496	150614	153565	156717	159674	162379	165171	167824	170058	172432	174885	177211	179550	181966	184316	186503	188578	190677	192817	194721	196697	198621	200312	201844	203577	205218	206987	208655	210338	211961	213540	215187	216657	218081	219584	221017	222548	223809	225226	226520	227615
https://youtu.be/COoY4qWqL-k	松浦亜弥「笑顔」	2446	4181	5631	6281	6833	7484	7983	8362	8743	9135	9445	9805	9893	10154	10406	10582	10787	10951	11149	11339	11526	11745	11942	12149	12329	12506	12667	12863	13036	13196	13371	13537	13702	13876	14036	14199	14356	14481	14616	14770	14884	15006	15123	15231	15339	15458	15560	15655	15766	15860	15955	16061	16154	16232	16314	16430	16530	16612	16708	16816	16896	16960	17032	17114
https://youtu.be/Q9D700GzNk4	松浦亜弥「The 美学」	10230	18365	22484	26638	31062	36401	41407	45653	49983	54583	58316	63413	64783	67630	70529	73373	76069	78600	81482	84355	87131	90250	93541	96645	99221	101837	104418	107088	109811	112353	114916	117243	119976	122563	125096	127603	130392	133108	135352	137427	139749	142639	144964	147532	150003	152006	153964	156167	158278	160401	162731	164711	166572	168377	170310	172253	174202	176038	177929	179713	181283	182711	184326	185904
https://youtu.be/IIj6RlHtS9w	松浦亜弥「♡桃色片想い♡」	28415	48232	57025	64283	73063	82882	92618	101668	111366	120420	127276	136401	138564	144165	150229	156419	162913	168679	174571	180155	186005	194058	202070	210770	218467	225404	232866	240494	248530	256407	264717	271626	278614	286562	293432	300799	308746	316810	324282	331250	338511	345593	352297	359173	365459	370838	375763	381137	386222	391624	397013	402373	406824	411143	415776	419937	424559	429467	434497	439235	443729	448250	453126	457705
https://youtu.be/YhmSHlsDUn4	松浦亜弥「草原の人」	2835	4789	5735	6457	7260	8139	8782	9316	9805	10278	10650	11138	11240	11573	11872	12149	12417	12640	12878	13110	13363	13685	13951	14225	14450	14676	14869	15052	15259	15433	15624	15781	15955	16132	16287	16488	16654	16833	16978	17146	17299	17543	17796	17982	18117	18254	18370	18493	18640	18756	18875	19024	19134	19225	19343	19435	19542	19645	19751	19860	19961	20049	20160	20272
https://youtu.be/cD6me0aRLRE	松浦亜弥「YOUR SONG ~青春宣誓~」	1918	3360	4144	4921	5711	6325	6733	7088	7439	7730	7983	8308	8404	8588	8801	8967	9131	9302	9479	9631	9775	9988	10180	10340	10477	10620	10781	10938	11078	11207	11334	11460	11587	11703	11807	11949	12071	12166	12267	12354	12441	12521	12612	12676	12753	12819	12890	12950	13013	13086	13159	13242	13303	13365	13427	13508	13574	13652	13724	13784	13843	13906	13972	14030
https://youtu.be/JhJRemxkKRE	松浦亜弥 『The Difference』 	22463	22518	22545	22548	22561	22577	22588	22601	22616	22626	22636	22646	22648	22656	22665	22671	22678	22682	22690	22697	22702	22714	22727	22735	22742	22745	22750	22755	22759	22767	22778	22786	22791	22796	22806	22814	22819	22820	22821	22830	22831	22837	22841	22843	22847	22848	22850	22852	22856	22860	22862	22865	22866	22872	22873	22878	22887	22893	22893	22896	22898	22899	22899	22901
https://youtu.be/zKt3-gZ2owM	"松浦亜弥 『Subject : さようなら』  ""10TH ANNIVERSARY BEST"" SPECIAL LIVE"	187119	187197	187233	187241	187254	187277	187305	187332	187355	187376	187393	187419	187428	187443	187450	187458	187469	187473	187478	187485	187494	187513	187527	187544	187553	187559	187568	187581	187592	187603	187618	187623	187630	187641	187655	187664	187675	187681	187691	187698	187704	187708	187715	187722	187726	187735	187743	187748	187754	187762	187762	187773	187778	187784	187787	187798	187802	187807	187814	187822	187827	187835	187839	187841
https://youtu.be/QLg2iS6ady4	松浦亜弥「渡良瀬橋」	3299	6277	8426	9895	11171	12520	14774	15844	16661	17381	17899	18610	18786	19229	19719	20150	20558	20897	21365	21771	22171	22663	23183	23667	24099	24536	24988	25459	25894	26318	26754	27134	27537	27909	28284	28638	29049	29479	29836	30221	30645	31117	31554	31971	32406	32723	33065	33443	33764	34133	34476	34942	35357	35746	36149	36525	37022	37487	38013	38455	38835	39373	39808	40196
https://youtu.be/aUvWsZHUKvM	松浦亜弥「ね〜え?」	16545	32262	40741	47886	55324	62153	68375	73443	79301	84921	89583	95542	97148	100657	104461	108077	111854	115107	118592	122052	125298	129537	133811	138289	142374	146671	150316	153916	157556	161622	165633	169187	172916	176920	180768	184727	188571	192343	195794	199335	202915	206253	209676	212639	215726	218078	220459	223124	225807	228445	231192	234109	236513	238683	241068	243407	245799	248150	250441	252718	254562	256329	258150	259907
https://youtu.be/E4bIkCCDCAg	"松浦亜弥 『花いちもんめ』  ""10TH ANNIVERSARY BEST"" SPECIAL LIVE"	78917	78974	79004	79018	79034	79052	79075	79093	79114	79132	79150	79159	79164	79174	79182	79191	79204	79214	79232	79240	79255	79264	79279	79302	79318	79331	79343	79361	79370	79384	79407	79422	79437	79447	79455	79465	79476	79487	79493	79508	79518	79531	79544	79556	79561	79568	79575	79585	79594	79601	79607	79611	79615	79622	79627	79637	79650	79658	79661	79669	79675	79683	79694	79699
https://youtu.be/nV0-nufnzNM	松浦亜弥「奇跡の香りダンス。」	13493	23462	28995	33890	40660	47125	51697	55654	59810	63342	66386	70570	71560	74076	76682	79238	81512	83391	85498	87548	89594	92185	94628	97133	99125	101270	103382	105285	107372	109468	111444	113223	115315	117457	119442	121590	123682	125686	127440	129073	130611	132295	134026	135686	137440	138874	140198	141538	142977	144337	145732	147064	148322	149514	150649	151776	152869	154102	155295	156417	157380	158319	159265	160236
https://youtu.be/_BXlt5mKRvU	松浦亜弥「風信子ヒヤシンス)」	2767	4721	6018	7128	8095	9216	10153	10877	11546	12189	12656	13262	13409	13760	14160	14484	14856	15130	15411	15692	15994	16348	16715	17070	17407	17719	18064	18390	18697	18987	19294	19571	19817	20072	20324	20603	20885	21156	21409	21690	21949	22226	22502	22764	23021	23266	23499	23741	24000	24196	24476	24738	24969	25184	25414	25635	25855	26079	26289	26491	26680	26888	27117	27359
https://youtu.be/UmxFhFbyQF8	松浦亜弥「THE LAST NIGHT」	2270	3760	4596	5266	5809	6399	6867	7223	7579	7908	8145	8493	8582	8809	9010	9214	9393	9534	9694	9864	10012	10210	10391	10576	10732	10890	11021	11149	11268	11367	11508	11640	11761	11859	11958	12076	12203	12317	12400	12486	12555	12657	12756	12862	12940	13043	13120	13202	13265	13354	13433	13537	13615	13685	13756	13824	13899	13968	14037	14098	14175	14230	14299	14354
https://youtu.be/B85xamk1FEM	松浦亜弥「LOVE涙色」	14224	23979	30676	35003	40658	48391	55174	62820	68838	74747	79501	86212	87840	92187	96624	101276	105792	109630	113875	118317	122435	127310	131989	136739	141101	145625	150093	154679	159014	163772	168128	171872	175752	180117	184409	188584	193790	197890	201774	205542	209296	213288	216941	220712	224370	227559	230673	233697	236778	239954	243108	246299	249045	251857	254783	257649	260520	263421	266237	268887	271205	273458	275957	278487
https://youtu.be/MmLatZZU8UE	松浦亜弥「ずっと 好きでいいですか」	5548	9799	12258	14158	15828	17728	19095	20273	21368	22312	23098	24194	24455	25189	25908	26618	27231	27752	28315	28860	29361	30012	30550	31098	31604	32081	32524	32948	33356	33835	34273	34632	34996	35410	35767	36207	36555	36991	37311	37611	37884	38242	38571	38892	39239	39529	39816	40111	40441	40761	41094	41414	41673	41924	42232	42521	42822	43187	43471	43707	43941	44193	44430	44693
https://youtu.be/_hSLSRvawFI	松浦亜弥「きずな」	1569	2713	3254	3659	4030	4469	4818	5082	5309	5507	5669	5860	5900	6019	6147	6248	6350	6416	6513	6631	6722	6834	6942	7049	7144	7234	7318	7384	7455	7512	7571	7643	7699	7767	7830	7883	7939	7986	8032	8077	8119	8168	8213	8267	8320	8363	8397	8442	8488	8536	8586	8637	8682	8714	8752	8792	8837	8882	8929	8957	8976	9005	9038	9071
https://youtu.be/-g8qPit4mo4	松浦亜弥「トロピカ〜ル恋して〜る」	13788	22889	28649	34276	38936	44738	49495	53429	57267	61227	64569	69820	71387	74527	77943	81267	84405	87277	90052	92872	95496	99002	102608	105786	108736	111406	114026	116814	119705	122596	125087	127226	129465	131780	133968	136228	138879	141476	143821	146091	148184	150476	152415	154297	156236	157881	159504	161265	162943	164707	166482	168215	169964	171542	173136	174631	176081	177520	178828	180164	181386	182648	183965	185297
https://youtu.be/lxLrWa7927o	松浦亜弥「砂を噛むように...NAMIDA」	2233	3796	4588	5167	5704	6328	6815	7274	7715	8110	8470	8889	8978	9264	9527	9765	9981	10173	10399	10590	10779	11005	11215	11402	11568	11757	11922	12059	12225	12377	12537	12656	12799	12979	13151	13313	13455	13592	13752	13873	13996	14129	14254	14366	14490	14585	14661	14743	14845	14949	15053	15186	15277	15394	15514	15638	15747	15833	15915	15998	16088	16165	16261	16350
https://youtu.be/4dgAR8Dhk7A	松浦亜弥 「渡良瀬橋」 ビデオクリップ	632242	632374	632445	632489	632554	632657	632747	632844	632919	633018	633069	633183	633219	633276	633327	633382	633428	633468	633529	633599	633650	633717	633781	633820	633858	633917	633963	634004	634048	634095	634146	634177	634217	634263	634315	634357	634390	634438	634478	634520	634565	634613	634659	634694	634736	634765	634795	634820	634859	634887	634915	634952	634980	635017	635052	635068	635102	635144	635173	635200	635223	635297	635329	635301
https://youtu.be/h6SM-Xphmmo	松浦亜弥「チョコレート魂」	5157	8683	10756	12401	13871	15104	15930	16549	17229	17856	18310	18874	19013	19436	19818	20123	20368	20593	20883	21131	21396	21734	22015	22277	22517	22731	22942	23146	23337	23521	23740	23915	24108	24295	24498	24680	24825	24964	25092	25230	25343	25474	25603	25734	25854	25966	26062	26204	26310	26428	26560	26694	26807	26922	27061	27182	27302	27421	27513	27619	27718	27783	27871	28003
